Cathode,Cathode,phot,22,phot,15.7282,2.565e-05
Cathode,Cathode,phot,22,phot,15.7282,2.565e-05
Cathode,Cathode,phot,22,phot,15.728,2.565e-05
Cathode,Cathode,phot,22,phot,15.728,2.565e-05
Cathode,Cathode,phot,22,phot,15.728,5.916e-05
Cathode,Cathode,phot,22,phot,15.728,2.565e-05
Cathode,Cathode,phot,22,phot,15.728,3.301e-05
Cathode,Cathode,phot,22,phot,15.7278,1.492e-05
Cathode,Cathode,phot,22,phot,15.7278,1.291e-05
Cathode,Cathode,phot,22,phot,15.7278,1.291e-05
Cathode,Cathode,phot,22,phot,15.7278,1.492e-05
Cathode,Cathode,phot,22,phot,15.7278,1.283e-05
Cathode,Cathode,phot,22,phot,15.7278,3.839e-05
Cathode,Cathode,phot,22,phot,15.7278,2.027e-05
Cathode,Cathode,phot,22,phot,15.7278,1.274e-05
Cathode,Cathode,phot,22,phot,15.7279,1.274e-05
Cathode,Cathode,phot,22,phot,15.7279,1.466e-05
Cathode,Cathode,phot,22,phot,15.7278,2.565e-05
Cathode,Cathode,phot,22,phot,15.7279,2.565e-05
Cathode,Cathode,phot,22,phot,15.7279,2.548e-05
Cathode,Cathode,phot,22,phot,15.7279,1.291e-05
Cathode,Cathode,phot,22,phot,15.7279,1.291e-05
Cathode,Cathode,phot,22,phot,15.7281,1.291e-05
Cathode,Cathode,phot,22,phot,15.7281,0
Cathode,Cathode,phot,22,phot,15.7281,1.274e-05
Cathode,Cathode,phot,22,phot,15.7258,1.274e-05
Cathode,Cathode,phot,22,phot,15.7258,1.291e-05
Cathode,Cathode,phot,22,phot,15.7258,2.565e-05
Cathode,Cathode,phot,22,phot,15.7259,2.932e-05
Cathode,Cathode,phot,22,phot,15.7258,1.291e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,1.283e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.7259,2.027e-05
Cathode,Cathode,phot,22,phot,15.7259,3.822e-05
Cathode,Cathode,phot,22,phot,15.7259,6.46e-06
Cathode,Cathode,phot,22,phot,15.7259,1.283e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7258,2.557e-05
Cathode,Cathode,phot,22,phot,15.7258,6.46e-06
Cathode,Cathode,phot,22,phot,15.7258,2.565e-05
Cathode,Cathode,phot,22,phot,15.7258,1.291e-05
Cathode,Cathode,phot,22,phot,15.7258,1.888e-05
Cathode,Cathode,phot,22,phot,15.7258,1.291e-05
Cathode,Cathode,phot,22,phot,15.7259,5.096e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.7259,1.274e-05
Cathode,Cathode,phot,22,phot,15.7259,2.565e-05
Cathode,Cathode,phot,22,phot,15.7265,1.274e-05
Cathode,Cathode,phot,22,phot,15.7265,1.291e-05
Cathode,Cathode,phot,22,phot,15.7265,1.291e-05
Cathode,Cathode,phot,22,phot,15.7265,2.548e-05
Cathode,Cathode,phot,22,phot,15.7266,2.565e-05
Cathode,Cathode,phot,22,phot,15.7265,6.46e-06
Cathode,Cathode,phot,22,phot,15.7265,1.291e-05
Cathode,Cathode,phot,22,phot,15.7265,1.274e-05
Cathode,Cathode,phot,22,phot,15.7266,3.839e-05
Cathode,Cathode,phot,22,phot,15.7265,1.274e-05
Cathode,Cathode,phot,22,phot,15.7265,1.283e-05
Cathode,Cathode,phot,22,phot,15.7263,1.274e-05
Cathode,Cathode,phot,22,phot,15.7265,3.839e-05
Cathode,Cathode,phot,22,phot,15.7265,1.291e-05
Cathode,Cathode,phot,22,phot,15.7264,2.548e-05
Cathode,Cathode,phot,22,phot,15.7265,1.291e-05
Cathode,Cathode,phot,22,phot,15.7265,2.958e-05
Cathode,Cathode,phot,22,phot,15.7259,1.283e-05
Cathode,Cathode,phot,22,phot,15.7264,6.37e-06
Cathode,Cathode,phot,22,phot,15.7281,7.644e-05
Cathode,Cathode,phot,22,phot,15.7281,3.839e-05
Cathode,Cathode,phot,22,phot,15.7281,1.274e-05
Cathode,Cathode,phot,22,phot,15.7281,1.292e-05
Cathode,Cathode,phot,22,phot,15.7281,2.565e-05
Cathode,Cathode,phot,22,phot,15.7281,2.932e-05
Cathode,Cathode,phot,22,phot,15.7281,1.492e-05
Cathode,Cathode,phot,22,phot,15.7281,2.565e-05
Cathode,Cathode,phot,22,phot,15.729,3.856e-05
Cathode,Cathode,phot,22,phot,15.729,2.565e-05
Cathode,Cathode,phot,22,phot,15.729,1.466e-05
Cathode,Cathode,phot,22,phot,15.729,6.37e-06
Cathode,Cathode,phot,22,phot,15.7271,2.566e-05
Cathode,Cathode,phot,22,phot,15.7271,2.044e-05
Cathode,Cathode,phot,22,phot,15.7271,1.291e-05
Cathode,Cathode,phot,22,phot,15.7322,3.839e-05
Cathode,Cathode,phot,22,phot,15.7322,3.301e-05
Cathode,Cathode,phot,22,phot,15.7322,1.274e-05
Cathode,Cathode,phot,22,phot,15.7322,6.37e-06
Cathode,Cathode,phot,22,phot,15.7321,2.565e-05
Cathode,Cathode,phot,22,phot,15.7321,1.274e-05
Cathode,Cathode,phot,22,phot,15.7321,2.565e-05
Cathode,Cathode,phot,22,phot,15.7321,5.207e-05
Cathode,Cathode,phot,22,phot,15.7321,1.274e-05
Cathode,Cathode,phot,22,phot,15.7321,2.565e-05
Cathode,Cathode,phot,22,phot,15.7321,1.274e-05
Cathode,Cathode,phot,22,phot,15.7321,2.565e-05
Cathode,Cathode,phot,22,phot,15.7321,2.565e-05
Cathode,Cathode,phot,22,phot,15.7321,2.958e-05
Cathode,Cathode,phot,22,phot,15.7321,1.274e-05
Cathode,Cathode,phot,22,phot,15.7321,1.929e-05
Cathode,Cathode,phot,22,phot,15.7321,1.274e-05
Cathode,Cathode,phot,22,phot,15.7321,5.13e-05
Cathode,Cathode,phot,22,phot,15.7321,2.565e-05
Cathode,Cathode,phot,22,phot,15.7321,3.856e-05
Cathode,Cathode,phot,22,phot,15.7321,3.839e-05
Cathode,Cathode,phot,22,phot,15.727,1.283e-05
Cathode,Cathode,phot,22,phot,15.727,1.291e-05
Cathode,Cathode,phot,22,phot,15.727,1.879e-05
Cathode,Cathode,phot,22,phot,15.727,3.856e-05
Cathode,Cathode,phot,22,phot,15.727,2.565e-05
Cathode,Cathode,phot,22,phot,15.727,1.274e-05
Cathode,Cathode,phot,22,phot,15.727,3.856e-05
Cathode,Cathode,phot,22,phot,15.727,1.274e-05
Cathode,Cathode,phot,22,phot,15.7271,1.492e-05
Cathode,Cathode,phot,22,phot,15.7272,2.932e-05
Cathode,Cathode,phot,22,phot,15.7272,1.274e-05
Cathode,Cathode,phot,22,phot,15.7272,2.565e-05
Cathode,Cathode,phot,22,phot,15.7274,3.856e-05
Cathode,Cathode,phot,22,phot,15.7274,3.856e-05
Cathode,Cathode,phot,22,phot,15.7274,1.291e-05
Cathode,Cathode,phot,22,phot,15.7274,6.37e-06
Cathode,Cathode,phot,22,phot,15.7269,2.525e-05
Cathode,Cathode,phot,22,phot,15.7269,2.565e-05
Cathode,Cathode,phot,22,phot,15.7273,3.849e-05
Cathode,Cathode,phot,22,phot,15.7273,3.839e-05
Cathode,Cathode,phot,22,phot,15.7273,1.274e-05
Cathode,Cathode,phot,22,phot,15.7273,2.027e-05
Cathode,Cathode,phot,22,phot,15.7273,1.291e-05
