Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary Cathode,eIoni,-11.000000,15.424025,0.834054,-1.677491,4.000000,0.000002
Secondary Cathode,eIoni,-11.000000,15.424024,0.834054,-1.677492,4.000000,0.000007
Secondary Cathode,eIoni,-11.000000,15.423866,0.834060,-1.677521,4.000000,0.000770
Secondary Cathode,msc,-11.000000,15.423861,0.834060,-1.677522,4.000000,0.000060
Secondary Cathode,msc,-11.000000,15.423861,0.834060,-1.677522,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.423857,0.834060,-1.677522,4.000000,0.000052
Secondary Cathode,eIoni,-11.000000,15.423833,0.834061,-1.677527,4.000000,0.000110
Secondary Cathode,msc,-11.000000,15.423828,0.834062,-1.677527,4.000000,0.000015
Secondary Cathode,eIoni,-11.000000,15.423823,0.834062,-1.677528,4.000000,0.000051
Secondary Cathode,eIoni,-11.000000,15.423800,0.834063,-1.677532,4.000000,0.000055
Secondary Cathode,eIoni,-11.000000,15.423731,0.834065,-1.677542,4.000000,0.000528
Secondary Cathode,msc,-11.000000,15.423731,0.834065,-1.677542,4.000000,0.000002
Secondary Cathode,msc,-11.000000,15.423730,0.834065,-1.677542,4.000000,0.000005
Secondary Cathode,eIoni,-11.000000,15.423712,0.834065,-1.677545,4.000000,0.000071
Secondary Cathode,eIoni,-11.000000,15.423710,0.834065,-1.677545,4.000000,0.000046
Secondary Cathode,msc,-11.000000,15.423709,0.834066,-1.677545,4.000000,0.000006
Secondary Cathode,eIoni,-11.000000,15.423700,0.834066,-1.677546,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.423699,0.834066,-1.677546,4.000000,0.000006
Secondary Cathode,msc,-11.000000,15.423698,0.834066,-1.677547,4.000000,0.000004
Secondary Cathode,eIoni,-11.000000,15.423682,0.834066,-1.677549,4.000000,0.000035
Secondary Cathode,eIoni,-11.000000,15.423628,0.834068,-1.677556,4.000000,0.000104
Secondary Cathode,msc,-11.000000,15.423624,0.834068,-1.677557,4.000000,0.000004
Secondary Cathode,msc,-11.000000,15.423623,0.834068,-1.677557,4.000000,0.000002
Secondary Cathode,eIoni,-11.000000,15.423612,0.834068,-1.677558,4.000000,0.000039
Secondary Cathode,eIoni,-11.000000,15.423494,0.834072,-1.677575,4.000000,0.000377
Secondary Cathode,eIoni,-11.000000,15.423412,0.834074,-1.677587,4.000000,0.000298
Secondary Cathode,eIoni,-11.000000,15.423393,0.834075,-1.677590,4.000000,0.000210
Secondary Cathode,msc,-11.000000,15.423390,0.834075,-1.677590,4.000000,0.000015
Secondary Cathode,eIoni,-11.000000,15.423389,0.834075,-1.677590,4.000000,0.000004
Secondary Cathode,eIoni,-11.000000,15.423388,0.834075,-1.677590,4.000000,0.000043
Secondary Cathode,msc,-11.000000,15.423387,0.834075,-1.677591,4.000000,0.000005
Secondary Cathode,msc,-11.000000,15.423379,0.834075,-1.677592,4.000000,0.000002
Secondary Cathode,eIoni,-11.000000,15.423376,0.834075,-1.677592,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.423320,0.834077,-1.677602,4.000000,0.000205
Secondary Cathode,eIoni,-11.000000,15.423285,0.834079,-1.677607,4.000000,0.000166
Secondary Cathode,eIoni,-11.000000,15.423252,0.834080,-1.677613,4.000000,0.000253
Secondary Cathode,eIoni,-11.000000,15.423246,0.834080,-1.677614,4.000000,0.000002
Secondary Cathode,eIoni,-11.000000,15.423194,0.834082,-1.677622,4.000000,0.000487
Secondary Cathode,msc,-11.000000,15.423193,0.834082,-1.677623,4.000000,0.000004
Secondary Cathode,msc,-11.000000,15.423191,0.834082,-1.677623,4.000000,0.000010
Secondary Cathode,eIoni,-11.000000,15.423181,0.834082,-1.677624,4.000000,0.000162
Secondary Cathode,msc,-11.000000,15.423181,0.834083,-1.677625,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.423176,0.834083,-1.677625,4.000000,0.000025
Secondary Cathode,eIoni,-11.000000,15.423122,0.834084,-1.677634,4.000000,0.000364
Secondary Cathode,eIoni,-11.000000,15.423082,0.834086,-1.677640,4.000000,0.000244
Secondary Cathode,eIoni,-11.000000,15.423058,0.834086,-1.677643,4.000000,0.000087
Secondary Cathode,eIoni,-11.000000,15.423028,0.834087,-1.677648,4.000000,0.000430
Secondary Cathode,eIoni,-11.000000,15.422950,0.834090,-1.677661,4.000000,0.000173
Secondary Cathode,eIoni,-11.000000,15.422922,0.834091,-1.677665,4.000000,0.000029
Secondary Cathode,msc,-11.000000,15.422915,0.834091,-1.677666,4.000000,0.000004
Secondary Cathode,eIoni,-11.000000,15.422910,0.834091,-1.677667,4.000000,0.000035
Secondary Cathode,msc,-11.000000,15.422903,0.834091,-1.677668,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.422901,0.834091,-1.677669,4.000000,0.000009
Secondary Cathode,eIoni,-11.000000,15.422897,0.834091,-1.677669,4.000000,0.000039
Secondary Cathode,eIoni,-11.000000,15.422829,0.834093,-1.677679,4.000000,0.000289
Secondary Cathode,eIoni,-11.000000,15.422783,0.834094,-1.677685,4.000000,0.000261
Secondary Cathode,eIoni,-11.000000,15.422743,0.834095,-1.677690,4.000000,0.000166
Secondary Cathode,eIoni,-11.000000,15.422652,0.834098,-1.677703,4.000000,0.000379
Secondary Cathode,msc,-11.000000,15.422636,0.834098,-1.677705,4.000000,0.000020
Secondary Cathode,msc,-11.000000,15.422636,0.834098,-1.677705,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.422631,0.834098,-1.677705,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.422603,0.834099,-1.677709,4.000000,0.000184
Secondary Cathode,eIoni,-11.000000,15.422594,0.834099,-1.677710,4.000000,0.000040
Secondary Cathode,msc,-11.000000,15.422587,0.834099,-1.677711,4.000000,0.000109
Secondary Cathode,msc,-11.000000,15.422585,0.834099,-1.677711,4.000000,0.000009
Secondary Cathode,eIoni,-11.000000,15.422570,0.834099,-1.677714,4.000000,0.000201
Secondary Cathode,eIoni,-11.000000,15.422536,0.834100,-1.677718,4.000000,0.000194
Secondary Cathode,eIoni,-11.000000,15.422522,0.834101,-1.677720,4.000000,0.000003
Secondary Cathode,eIoni,-11.000000,15.422497,0.834101,-1.677724,4.000000,0.000259
Secondary Cathode,eIoni,-11.000000,15.422463,0.834102,-1.677729,4.000000,0.000064
Secondary Cathode,eIoni,-11.000000,15.422410,0.834103,-1.677738,4.000000,0.000516
Secondary Cathode,msc,-11.000000,15.422403,0.834104,-1.677739,4.000000,0.000045
Secondary Cathode,eIoni,-11.000000,15.422401,0.834104,-1.677739,4.000000,0.000043
Secondary Cathode,eIoni,-11.000000,15.422353,0.834105,-1.677746,4.000000,0.000073
Secondary Cathode,eIoni,-11.000000,15.422189,0.834109,-1.677771,4.000000,0.000779
Secondary Cathode,msc,-11.000000,15.422189,0.834109,-1.677771,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.422188,0.834109,-1.677771,4.000000,0.000002
Secondary Cathode,msc,-11.000000,15.422186,0.834109,-1.677772,4.000000,0.000009
Secondary Cathode,msc,-11.000000,15.422172,0.834110,-1.677774,4.000000,0.000082
Secondary Cathode,msc,-11.000000,15.422167,0.834110,-1.677775,4.000000,0.000041
Secondary Cathode,eIoni,-11.000000,15.422166,0.834110,-1.677775,4.000000,0.000002
Secondary Cathode,eIoni,-11.000000,15.422078,0.834112,-1.677788,4.000000,0.000411
Secondary Cathode,eIoni,-11.000000,15.422041,0.834113,-1.677793,4.000000,0.000260
Secondary Cathode,eIoni,-11.000000,15.421981,0.834114,-1.677802,4.000000,0.000175
Secondary Cathode,eIoni,-11.000000,15.421949,0.834115,-1.677807,4.000000,0.000242
Secondary Cathode,eIoni,-11.000000,15.421767,0.834119,-1.677835,4.000000,0.001254
Secondary Cathode,eIoni,-11.000000,15.421725,0.834120,-1.677843,4.000000,0.000399
Secondary Cathode,eIoni,-11.000000,15.421699,0.834121,-1.677847,4.000000,0.000059
Secondary Cathode,eIoni,-11.000000,15.421689,0.834121,-1.677849,4.000000,0.000144
Secondary Cathode,eIoni,-11.000000,15.421575,0.834123,-1.677868,4.000000,0.000625
Secondary Cathode,msc,-11.000000,15.421568,0.834123,-1.677870,4.000000,0.000016
Secondary Cathode,eIoni,-11.000000,15.421559,0.834123,-1.677871,4.000000,0.000064
Secondary Cathode,eIoni,-11.000000,15.421525,0.834124,-1.677877,4.000000,0.000286
Secondary Cathode,eIoni,-11.000000,15.421497,0.834125,-1.677882,4.000000,0.000027
Secondary Cathode,msc,-11.000000,15.421496,0.834125,-1.677882,4.000000,0.000005
Secondary Cathode,eIoni,-11.000000,15.421494,0.834125,-1.677882,4.000000,0.000139
Secondary Cathode,msc,-11.000000,15.421494,0.834125,-1.677882,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.421492,0.834125,-1.677883,4.000000,0.000018
Secondary Cathode,msc,-11.000000,15.421490,0.834125,-1.677883,4.000000,0.000008
Secondary Cathode,msc,-11.000000,15.421476,0.834125,-1.677885,4.000000,0.000053
Secondary Cathode,eIoni,-11.000000,15.421476,0.834125,-1.677885,4.000000,0.000021
Secondary Cathode,eIoni,-11.000000,15.421462,0.834125,-1.677888,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.421423,0.834126,-1.677895,4.000000,0.000148
Secondary Cathode,eIoni,-11.000000,15.421380,0.834127,-1.677902,4.000000,0.000348
Secondary Cathode,eIoni,-11.000000,15.421375,0.834127,-1.677903,4.000000,0.000000
Secondary Cathode,msc,-11.000000,15.421374,0.834127,-1.677903,4.000000,0.000004
Secondary Cathode,msc,-11.000000,15.421365,0.834128,-1.677905,4.000000,0.000044
Secondary Cathode,eIoni,-11.000000,15.421364,0.834128,-1.677905,4.000000,0.000125
Secondary Cathode,eIoni,-11.000000,15.421266,0.834130,-1.677923,4.000000,0.000797
Secondary Cathode,eIoni,-11.000000,15.421230,0.834131,-1.677929,4.000000,0.000100
Secondary Cathode,eIoni,-11.000000,15.421136,0.834133,-1.677946,4.000000,0.000362
Secondary Cathode,eIoni,-11.000000,15.421111,0.834134,-1.677950,4.000000,0.000271
Secondary Cathode,eIoni,-11.000000,15.421085,0.834134,-1.677955,4.000000,0.000357
Secondary Cathode,msc,-11.000000,15.421082,0.834135,-1.677955,4.000000,0.000028
Secondary Cathode,eIoni,-11.000000,15.421081,0.834135,-1.677956,4.000000,0.000047
Secondary Cathode,eIoni,-11.000000,15.421080,0.834135,-1.677956,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.421076,0.834135,-1.677956,4.000000,0.000101
Secondary Cathode,eIoni,-11.000000,15.421037,0.834136,-1.677963,4.000000,0.000238
Secondary Cathode,eIoni,-11.000000,15.421031,0.834136,-1.677965,4.000000,0.000038
Secondary Cathode,eIoni,-11.000000,15.420971,0.834137,-1.677976,4.000000,0.000328
Secondary Cathode,msc,-11.000000,15.420970,0.834137,-1.677976,4.000000,0.000005
Secondary Cathode,eIoni,-11.000000,15.420962,0.834138,-1.677977,4.000000,0.000150
Secondary Cathode,eIoni,-11.000000,15.420943,0.834138,-1.677981,4.000000,0.000028
Secondary Cathode,msc,-11.000000,15.420941,0.834138,-1.677981,4.000000,0.000064
Secondary Cathode,msc,-11.000000,15.420937,0.834138,-1.677982,4.000000,0.000006
Secondary Cathode,msc,-11.000000,15.420935,0.834138,-1.677982,4.000000,0.000019
Secondary Cathode,msc,-11.000000,15.420932,0.834138,-1.677983,4.000000,0.000020
Secondary Cathode,eIoni,-11.000000,15.420932,0.834138,-1.677983,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.420889,0.834139,-1.677991,4.000000,0.000374
Secondary Cathode,eIoni,-11.000000,15.420854,0.834140,-1.677997,4.000000,0.000403
Secondary Cathode,eIoni,-11.000000,15.420821,0.834141,-1.678003,4.000000,0.000142
Secondary Cathode,eIoni,-11.000000,15.420787,0.834142,-1.678010,4.000000,0.000186
Secondary Cathode,eIoni,-11.000000,15.420786,0.834142,-1.678010,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.420725,0.834143,-1.678021,4.000000,0.000317
Secondary Cathode,eIoni,-11.000000,15.420684,0.834144,-1.678029,4.000000,0.000190
Secondary Cathode,eIoni,-11.000000,15.420632,0.834145,-1.678039,4.000000,0.000329
Secondary Cathode,msc,-11.000000,15.420631,0.834145,-1.678039,4.000000,0.000003
Secondary Cathode,msc,-11.000000,15.420629,0.834145,-1.678039,4.000000,0.000009
Secondary Cathode,msc,-11.000000,15.420624,0.834146,-1.678040,4.000000,0.000082
Secondary Cathode,eIoni,-11.000000,15.420620,0.834146,-1.678041,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.420559,0.834147,-1.678052,4.000000,0.000259
Secondary Cathode,eIoni,-11.000000,15.420536,0.834148,-1.678057,4.000000,0.000036
Secondary Cathode,msc,-11.000000,15.420535,0.834148,-1.678057,4.000000,0.000005
Secondary Cathode,eIoni,-11.000000,15.420532,0.834148,-1.678057,4.000000,0.000061
Secondary Cathode,eIoni,-11.000000,15.420503,0.834149,-1.678063,4.000000,0.000077
Secondary Cathode,eIoni,-11.000000,15.420501,0.834149,-1.678063,4.000000,0.000121
Secondary Cathode,eIoni,-11.000000,15.420441,0.834150,-1.678074,4.000000,0.000502
Secondary Cathode,eIoni,-11.000000,15.420402,0.834151,-1.678081,4.000000,0.000244
Secondary Cathode,msc,-11.000000,15.420395,0.834151,-1.678082,4.000000,0.000120
Secondary Cathode,msc,-11.000000,15.420391,0.834151,-1.678083,4.000000,0.000003
