Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary SupportRod,eIoni,-11.000000,4.167997,-0.999632,-1.794687,9.000000,0.000412
Secondary SupportRod,eIoni,-11.000000,4.167962,-0.999633,-1.793590,9.000000,0.000968
Secondary SupportRod,eIoni,-11.000000,4.167958,-0.999633,-1.793408,9.000000,0.000154
Secondary SupportRod,eIoni,-11.000000,4.167949,-0.999634,-1.793087,9.000000,0.000171
Secondary SupportRod,eIoni,-11.000000,4.167934,-0.999634,-1.792754,9.000000,0.000127
Secondary SupportRod,eIoni,-11.000000,4.167929,-0.999634,-1.792678,9.000000,0.000150
Secondary SupportRod,eIoni,-11.000000,4.167927,-0.999634,-1.792641,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167888,-0.999634,-1.791936,9.000000,0.000441
Secondary SupportRod,eIoni,-11.000000,4.167843,-0.999635,-1.791327,9.000000,0.000489
Secondary SupportRod,eIoni,-11.000000,4.167839,-0.999635,-1.791263,9.000000,0.000096
Secondary SupportRod,eIoni,-11.000000,4.167807,-0.999635,-1.790746,9.000000,0.000276
Secondary SupportRod,eIoni,-11.000000,4.167789,-0.999635,-1.790421,9.000000,0.000189
Secondary SupportRod,eIoni,-11.000000,4.167770,-0.999635,-1.789972,9.000000,0.000312
Secondary SupportRod,eIoni,-11.000000,4.167770,-0.999635,-1.789702,9.000000,0.000238
Secondary SupportRod,eIoni,-11.000000,4.167774,-0.999635,-1.789303,9.000000,0.000268
Secondary SupportRod,eIoni,-11.000000,4.167775,-0.999635,-1.788850,9.000000,0.000292
Secondary SupportRod,eIoni,-11.000000,4.167775,-0.999635,-1.788823,9.000000,0.000054
Secondary SupportRod,eIoni,-11.000000,4.167775,-0.999635,-1.788774,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167776,-0.999636,-1.788287,9.000000,0.000572
Secondary SupportRod,eIoni,-11.000000,4.167774,-0.999636,-1.787050,9.000000,0.000463
Secondary SupportRod,eIoni,-11.000000,4.167773,-0.999636,-1.787020,9.000000,0.000036
Secondary SupportRod,eIoni,-11.000000,4.167763,-0.999636,-1.786440,9.000000,0.000345
Secondary SupportRod,eIoni,-11.000000,4.167752,-0.999636,-1.785539,9.000000,0.000588
Secondary SupportRod,eIoni,-11.000000,4.167755,-0.999636,-1.785495,9.000000,0.000035
Secondary SupportRod,eIoni,-11.000000,4.167772,-0.999636,-1.785292,9.000000,0.000192
Secondary SupportRod,eIoni,-11.000000,4.167984,-0.999636,-1.782442,9.000000,0.001671
Secondary SupportRod,eIoni,-11.000000,4.167990,-0.999636,-1.782358,9.000000,0.000010
Secondary SupportRod,eIoni,-11.000000,4.167994,-0.999636,-1.782299,9.000000,0.000048
Secondary SupportRod,eIoni,-11.000000,4.168097,-0.999635,-1.780695,9.000000,0.001627
Secondary SupportRod,eIoni,-11.000000,4.168132,-0.999635,-1.780139,9.000000,0.000312
Secondary SupportRod,eIoni,-11.000000,4.168151,-0.999635,-1.779906,9.000000,0.000129
Secondary SupportRod,eIoni,-11.000000,4.168157,-0.999635,-1.779842,9.000000,0.000111
Secondary SupportRod,eIoni,-11.000000,4.168182,-0.999635,-1.779578,9.000000,0.000166
