Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary Gas,hIoni,2212.000000,14.564393,-0.555866,1.479358,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.564763,-0.555876,1.479396,1.000000,0.000059
Secondary Gas,hIoni,2212.000000,14.565407,-0.555895,1.479460,1.000000,0.000394
Secondary Gas,hIoni,2212.000000,14.566111,-0.555915,1.479531,1.000000,0.000070
Secondary Gas,hIoni,2212.000000,14.566111,-0.555915,1.479531,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.567309,-0.555949,1.479651,1.000000,0.000280
Secondary Gas,hIoni,2212.000000,14.567633,-0.555958,1.479684,1.000000,0.000068
Secondary Gas,hIoni,2212.000000,14.567702,-0.555960,1.479691,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.568276,-0.555976,1.479748,1.000000,0.000128
Secondary Gas,hIoni,2212.000000,14.568691,-0.555988,1.479790,1.000000,0.000043
Secondary Gas,hIoni,2212.000000,14.568838,-0.555992,1.479804,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,14.568941,-0.555995,1.479815,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.569200,-0.556003,1.479840,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.569705,-0.556017,1.479891,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.569873,-0.556022,1.479907,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.570136,-0.556029,1.479933,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.570172,-0.556030,1.479937,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.570229,-0.556032,1.479943,1.000000,0.000024
Secondary Gas,hIoni,2212.000000,14.571121,-0.556057,1.480031,1.000000,0.000215
Secondary Gas,hIoni,2212.000000,14.571180,-0.556059,1.480037,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.571703,-0.556073,1.480089,1.000000,0.000246
Secondary Gas,hIoni,2212.000000,14.572104,-0.556085,1.480129,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,14.573693,-0.556129,1.480287,1.000000,0.000518
Secondary Gas,hIoni,2212.000000,14.573965,-0.556137,1.480314,1.000000,0.000034
Secondary Gas,hIoni,2212.000000,14.574061,-0.556140,1.480323,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.574579,-0.556154,1.480374,1.000000,0.000240
Secondary Gas,hIoni,2212.000000,14.574748,-0.556159,1.480391,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,14.574938,-0.556165,1.480410,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.575346,-0.556176,1.480450,1.000000,0.000046
Secondary Gas,hIoni,2212.000000,14.575835,-0.556190,1.480499,1.000000,0.000455
Secondary Gas,hIoni,2212.000000,14.576635,-0.556212,1.480578,1.000000,0.000148
Secondary Gas,hIoni,2212.000000,14.579012,-0.556279,1.480813,1.000000,0.001403
Secondary Gas,hIoni,2212.000000,14.580002,-0.556307,1.480910,1.000000,0.000466
Secondary Gas,hIoni,2212.000000,14.580983,-0.556334,1.481006,1.000000,0.000086
Secondary Gas,hIoni,2212.000000,14.581363,-0.556345,1.481043,1.000000,0.000088
Secondary Gas,hIoni,2212.000000,14.581697,-0.556354,1.481076,1.000000,0.000000
