Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary SupportRod,phot,22.000000,14.305734,-0.999918,2.718444,893.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305743,-0.999918,2.718506,893.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305743,-0.999918,2.718423,893.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305739,-0.999918,2.718475,916.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305731,-0.999918,2.718565,893.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305734,-0.999918,2.718592,920.000000,0.000030
Secondary SupportRod,phot,22.000000,14.305829,-0.999918,2.718479,893.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305833,-0.999918,2.718460,925.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305833,-0.999918,2.718455,928.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305832,-0.999918,2.718458,930.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305829,-0.999918,2.718479,925.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305900,-0.999918,2.715366,736.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305889,-0.999918,2.715401,934.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305890,-0.999918,2.715404,937.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305890,-0.999918,2.715406,937.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305900,-0.999918,2.715402,934.000000,0.000010
Secondary SupportRod,compt,22.000000,14.305468,-0.999918,2.718772,736.000000,0.000039
Secondary SupportRod,phot,22.000000,14.303191,-0.999918,2.716798,736.000000,0.000030
Secondary SupportRod,phot,22.000000,14.303209,-0.999918,2.716828,949.000000,0.000020
Secondary SupportRod,phot,22.000000,14.303208,-0.999918,2.716781,949.000000,0.000010
Secondary SupportRod,phot,22.000000,14.303207,-0.999918,2.716781,956.000000,0.000020
