Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Gas,hIoni,2212.000000,11.862584,0.155951,-1.762276,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,11.863082,0.155958,-1.762323,1.000000,0.000088
Secondary Gas,hIoni,2212.000000,11.863496,0.155963,-1.762362,1.000000,0.000278
Secondary Gas,hIoni,2212.000000,11.864288,0.155974,-1.762438,1.000000,0.000177
Secondary Gas,hIoni,2212.000000,11.864833,0.155981,-1.762489,1.000000,0.000101
Secondary Gas,hIoni,2212.000000,11.865396,0.155988,-1.762543,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,11.866029,0.155996,-1.762603,1.000000,0.000051
Secondary Gas,hIoni,2212.000000,11.866900,0.156008,-1.762686,1.000000,0.000924
Secondary Gas,hIoni,2212.000000,11.867039,0.156010,-1.762700,1.000000,0.000009
Secondary Gas,hIoni,2212.000000,11.867220,0.156013,-1.762717,1.000000,0.000012
Secondary Gas,hIoni,2212.000000,11.867690,0.156019,-1.762762,1.000000,0.000049
Secondary Gas,hIoni,2212.000000,11.867817,0.156021,-1.762774,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,11.867923,0.156022,-1.762784,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.868340,0.156028,-1.762824,1.000000,0.000025
Secondary Gas,hIoni,2212.000000,11.869001,0.156037,-1.762888,1.000000,0.000330
Secondary Gas,hIoni,2212.000000,11.869490,0.156044,-1.762934,1.000000,0.000116
Secondary Gas,hIoni,2212.000000,11.869539,0.156044,-1.762939,1.000000,0.000101
Secondary Gas,hIoni,2212.000000,11.871346,0.156069,-1.763112,1.000000,0.000293
Secondary Gas,hIoni,2212.000000,11.871824,0.156075,-1.763158,1.000000,0.000225
Secondary Gas,hIoni,2212.000000,11.871841,0.156076,-1.763159,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.872470,0.156084,-1.763220,1.000000,0.000061
Secondary Gas,hIoni,2212.000000,11.872807,0.156089,-1.763252,1.000000,0.000350
Secondary Gas,hIoni,2212.000000,11.874107,0.156107,-1.763376,1.000000,0.000178
Secondary Gas,hIoni,2212.000000,11.874549,0.156113,-1.763418,1.000000,0.000050
Secondary Gas,hIoni,2212.000000,11.874597,0.156114,-1.763422,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.874600,0.156114,-1.763423,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.874673,0.156115,-1.763430,1.000000,0.000032
Secondary Gas,hIoni,2212.000000,11.874786,0.156117,-1.763440,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.875145,0.156122,-1.763474,1.000000,0.000018
Secondary Gas,hIoni,2212.000000,11.875434,0.156126,-1.763502,1.000000,0.000137
Secondary Gas,hIoni,2212.000000,11.875729,0.156130,-1.763530,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.875833,0.156131,-1.763539,1.000000,0.000000
