Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary ,Cathode,phot,22.000000,15.338223,0.610210,3.010998,814.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338217,0.610210,3.010997,779.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.337907,0.610248,3.011032,779.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.337907,0.610248,3.011032,819.000000,0.000030
Secondary ,Cathode,phot,22.000000,15.337907,0.610248,3.011032,823.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337648,0.610235,3.011035,818.000000,0.000000
Secondary ,Cathode,phot,22.000000,15.337646,0.610235,3.011034,818.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337646,0.610235,3.011035,818.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.337645,0.610235,3.011035,834.000000,0.000030
Secondary ,Cathode,phot,22.000000,15.337643,0.610235,3.011036,837.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337648,0.610235,3.011035,833.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337645,0.610235,3.011035,833.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337681,0.610237,3.011035,818.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.337680,0.610237,3.011035,846.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.337680,0.610237,3.011035,851.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337683,0.610237,3.011036,846.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.337678,0.610237,3.011035,845.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.337677,0.610237,3.011036,845.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.337677,0.610237,3.011036,859.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338240,0.610222,3.010999,779.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.338461,0.610223,3.010954,778.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338471,0.610224,3.010955,778.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338463,0.610224,3.010955,778.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338475,0.610223,3.010954,778.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.338476,0.610226,3.010953,877.000000,0.000020
