Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494215,0.286067,2.281174,1.000000,0.000102
Secondary ,Gas,ionIoni,1000070140.000000,9.494226,0.286066,2.281173,1.000000,0.000095
Secondary ,Gas,ionIoni,1000070140.000000,9.494234,0.286065,2.281172,1.000000,0.000013
Secondary ,Gas,ionIoni,1000070140.000000,9.494234,0.286065,2.281172,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494258,0.286061,2.281170,1.000000,0.000513
Secondary ,Gas,ionIoni,1000070140.000000,9.494338,0.286051,2.281161,1.000000,0.000877
Secondary ,Gas,ionIoni,1000070140.000000,9.494347,0.286050,2.281160,1.000000,0.000021
Secondary ,Gas,ionIoni,1000070140.000000,9.494359,0.286048,2.281159,1.000000,0.000219
Secondary ,Gas,ionIoni,1000070140.000000,9.494389,0.286044,2.281156,1.000000,0.000415
Secondary ,Gas,ionIoni,1000070140.000000,9.494409,0.286041,2.281154,1.000000,0.000073
Secondary ,Gas,ionIoni,1000070140.000000,9.494433,0.286038,2.281151,1.000000,0.000179
Secondary ,Gas,ionIoni,1000070140.000000,9.494459,0.286034,2.281148,1.000000,0.000242
Secondary ,Gas,ionIoni,1000070140.000000,9.494480,0.286032,2.281146,1.000000,0.000064
Secondary ,Gas,ionIoni,1000070140.000000,9.494493,0.286030,2.281145,1.000000,0.000016
Secondary ,Gas,ionIoni,1000070140.000000,9.494496,0.286029,2.281144,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.494527,0.286025,2.281141,1.000000,0.000040
Secondary ,Gas,ionIoni,1000070140.000000,9.494540,0.286024,2.281140,1.000000,0.000005
Secondary ,Gas,ionIoni,1000070140.000000,9.494549,0.286022,2.281139,1.000000,0.000009
Secondary ,Gas,ionIoni,1000070140.000000,9.494558,0.286021,2.281138,1.000000,0.000008
Secondary ,Gas,ionIoni,1000070140.000000,9.494585,0.286017,2.281135,1.000000,0.000086
Secondary ,Gas,ionIoni,1000070140.000000,9.494587,0.286017,2.281135,1.000000,0.000013
Secondary ,Gas,ionIoni,1000070140.000000,9.494597,0.286016,2.281134,1.000000,0.000074
Secondary ,Gas,ionIoni,1000070140.000000,9.494604,0.286015,2.281133,1.000000,0.000114
Secondary ,Gas,ionIoni,1000070140.000000,9.494612,0.286014,2.281132,1.000000,0.000004
Secondary ,Gas,ionIoni,1000070140.000000,9.494643,0.286010,2.281129,1.000000,0.000374
Secondary ,Gas,ionIoni,1000070140.000000,9.494662,0.286007,2.281127,1.000000,0.000409
Secondary ,Gas,ionIoni,1000070140.000000,9.494700,0.286002,2.281123,1.000000,0.000207
Secondary ,Gas,ionIoni,1000070140.000000,9.494700,0.286002,2.281123,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494739,0.285997,2.281118,1.000000,0.000130
Secondary ,Gas,ionIoni,1000070140.000000,9.494791,0.285990,2.281113,1.000000,0.000574
